image_index,class_index,class_name,simple_prompt,complex_prompt
3038,8,ship,a black and white photo of the ship.,a bad photo of a old ship.
3039,8,ship,a pixelated photo of the ship.,a small photo of the small ship.
3040,5,dog,a jpeg corrupted photo of a dog.,a blurry photo of a fast dog.
3041,6,frog,a low resolution photo of a frog.,a low resolution photo of a noisy frog.
3042,0,airplane,a bad photo of a airplane.,a black and white photo of the old airplane.
3043,3,cat,a blurry photo of a cat.,a close-up photo of a noisy cat.
3044,4,deer,a small photo of the deer.,a close-up photo of a small deer.
3045,9,truck,a pixelated photo of the truck.,a cropped photo of a old truck.
3046,4,deer,a jpeg corrupted photo of a deer.,a black and white photo of the fast deer.
3047,5,dog,a black and white photo of the dog.,a small photo of the big dog.
3048,6,frog,a close-up photo of a frog.,a bad photo of a colorful frog.
3049,0,airplane,a blurry photo of a airplane.,a bright photo of a strange airplane.
3050,7,horse,a jpeg corrupted photo of a horse.,a photo of a noisy horse.
3051,0,airplane,a close-up photo of a airplane.,a close-up photo of a realistic airplane.
3052,3,cat,a pixelated photo of the cat.,a jpeg corrupted photo of a small cat.
3053,0,airplane,a low resolution photo of a airplane.,a cropped photo of a modern airplane.
3054,7,horse,a close-up photo of a horse.,a pixelated photo of the old horse.
3055,5,dog,a black and white photo of the dog.,a black and white photo of the realistic dog.
3056,8,ship,a bad photo of a ship.,a photo of a small ship.
3057,3,cat,a jpeg corrupted photo of a cat.,a cropped photo of a big cat.
3058,8,ship,a rendition of a ship.,a blurry photo of a noisy ship.
3059,1,automobile,a jpeg corrupted photo of a automobile.,a photo of a colorful automobile.
3060,5,dog,a pixelated photo of the dog.,a bad photo of a fast dog.
3061,9,truck,a low resolution photo of a truck.,a bright photo of a fast truck.
3062,1,automobile,a close-up photo of a automobile.,a photo of a colorful automobile.
3063,0,airplane,a photo of a airplane.,a bad photo of a realistic airplane.
3064,1,automobile,a cropped photo of a automobile.,a photo of a noisy automobile.
3065,8,ship,a rendition of a ship.,a jpeg corrupted photo of a colorful ship.
3066,0,airplane,a pixelated photo of the airplane.,a rendition of a realistic airplane.
3067,8,ship,a small photo of the ship.,a low resolution photo of a strange ship.
3068,2,bird,a pixelated photo of the bird.,a black and white photo of the modern bird.
3069,5,dog,a bright photo of a dog.,a bright photo of a cute dog.
3070,6,frog,a bright photo of a frog.,a black and white photo of the strange frog.
3071,7,horse,a low resolution photo of a horse.,a jpeg corrupted photo of a big horse.
3072,1,automobile,a small photo of the automobile.,a pixelated photo of the old automobile.
3073,0,airplane,a rendition of a airplane.,a low resolution photo of a fast airplane.
3074,2,bird,a cropped photo of a bird.,a photo of a noisy bird.
3075,9,truck,a black and white photo of the truck.,a photo of a realistic truck.
3076,0,airplane,a close-up photo of a airplane.,a photo of a colorful airplane.
3077,4,deer,a jpeg corrupted photo of a deer.,a jpeg corrupted photo of a old deer.
3078,1,automobile,a cropped photo of a automobile.,a rendition of a small automobile.
3079,9,truck,a pixelated photo of the truck.,a cropped photo of a strange truck.
3080,5,dog,a bright photo of a dog.,a blurry photo of a cute dog.
3081,3,cat,a blurry photo of a cat.,a low resolution photo of a small cat.
3082,5,dog,a rendition of a dog.,a small photo of the strange dog.
3083,7,horse,a jpeg corrupted photo of a horse.,a bright photo of a colorful horse.
3084,3,cat,a low resolution photo of a cat.,a black and white photo of the fast cat.
3085,1,automobile,a cropped photo of a automobile.,a low resolution photo of a big automobile.
3086,9,truck,a jpeg corrupted photo of a truck.,a low resolution photo of a old truck.
3087,3,cat,a blurry photo of a cat.,a bad photo of a cute cat.
3088,9,truck,a black and white photo of the truck.,a bright photo of a small truck.
3089,4,deer,a close-up photo of a deer.,a small photo of the realistic deer.
3090,9,truck,a rendition of a truck.,a black and white photo of the noisy truck.
3091,6,frog,a small photo of the frog.,a jpeg corrupted photo of a strange frog.
3092,0,airplane,a low resolution photo of a airplane.,a blurry photo of a cute airplane.
3093,8,ship,a photo of a ship.,a close-up photo of a old ship.
3094,8,ship,a jpeg corrupted photo of a ship.,a low resolution photo of a strange ship.
3095,6,frog,a jpeg corrupted photo of a frog.,a rendition of a realistic frog.
3096,6,frog,a black and white photo of the frog.,a pixelated photo of the modern frog.
3097,9,truck,a jpeg corrupted photo of a truck.,a bright photo of a fast truck.
3098,6,frog,a photo of a frog.,a bright photo of a old frog.
3099,9,truck,a black and white photo of the truck.,a close-up photo of a strange truck.
3100,3,cat,a cropped photo of a cat.,a bright photo of a colorful cat.
3101,2,bird,a jpeg corrupted photo of a bird.,a rendition of a realistic bird.
3102,0,airplane,a black and white photo of the airplane.,a pixelated photo of the cute airplane.
3103,1,automobile,a jpeg corrupted photo of a automobile.,a black and white photo of the noisy automobile.
3104,7,horse,a bright photo of a horse.,a low resolution photo of a old horse.
3105,3,cat,a small photo of the cat.,a low resolution photo of a modern cat.
3106,6,frog,a pixelated photo of the frog.,a jpeg corrupted photo of a big frog.
3107,5,dog,a jpeg corrupted photo of a dog.,a low resolution photo of a modern dog.
3108,3,cat,a low resolution photo of a cat.,a blurry photo of a old cat.
3109,3,cat,a bad photo of a cat.,a low resolution photo of a realistic cat.
3110,3,cat,a rendition of a cat.,a cropped photo of a old cat.
3111,6,frog,a cropped photo of a frog.,a bad photo of a strange frog.
3112,4,deer,a photo of a deer.,a black and white photo of the small deer.
3113,0,airplane,a rendition of a airplane.,a black and white photo of the small airplane.
3114,0,airplane,a photo of a airplane.,a blurry photo of a noisy airplane.
3115,8,ship,a blurry photo of a ship.,a low resolution photo of a small ship.
3116,4,deer,a photo of a deer.,a bright photo of a strange deer.
3117,2,bird,a close-up photo of a bird.,a blurry photo of a old bird.
3118,2,bird,a small photo of the bird.,a low resolution photo of a cute bird.
3119,2,bird,a close-up photo of a bird.,a rendition of a realistic bird.
3120,1,automobile,a jpeg corrupted photo of a automobile.,a rendition of a cute automobile.
3121,8,ship,a bright photo of a ship.,a black and white photo of the modern ship.
3122,6,frog,a small photo of the frog.,a blurry photo of a big frog.
3123,8,ship,a close-up photo of a ship.,a rendition of a small ship.
3124,5,dog,a small photo of the dog.,a small photo of the colorful dog.
3125,3,cat,a bad photo of a cat.,a bright photo of a realistic cat.
3126,9,truck,a pixelated photo of the truck.,a jpeg corrupted photo of a noisy truck.
3127,9,truck,a bright photo of a truck.,a low resolution photo of a strange truck.
3128,0,airplane,a pixelated photo of the airplane.,a bright photo of a cute airplane.
3129,9,truck,a jpeg corrupted photo of a truck.,a jpeg corrupted photo of a colorful truck.
3130,8,ship,a bad photo of a ship.,a rendition of a big ship.
3131,1,automobile,a small photo of the automobile.,a jpeg corrupted photo of a strange automobile.
3132,5,dog,a close-up photo of a dog.,a rendition of a realistic dog.
3133,4,deer,a jpeg corrupted photo of a deer.,a rendition of a strange deer.
3134,3,cat,a pixelated photo of the cat.,a photo of a noisy cat.
3135,7,horse,a bright photo of a horse.,a jpeg corrupted photo of a cute horse.
3136,0,airplane,a photo of a airplane.,a bright photo of a colorful airplane.
3137,9,truck,a low resolution photo of a truck.,a bright photo of a fast truck.
3138,7,horse,a black and white photo of the horse.,a photo of a big horse.
3139,6,frog,a black and white photo of the frog.,a bad photo of a old frog.
3140,0,airplane,a bright photo of a airplane.,a blurry photo of a old airplane.
3141,4,deer,a small photo of the deer.,a rendition of a cute deer.
3142,1,automobile,a pixelated photo of the automobile.,a bad photo of a realistic automobile.
3143,9,truck,a small photo of the truck.,a photo of a strange truck.
3144,8,ship,a jpeg corrupted photo of a ship.,a small photo of the fast ship.
3145,4,deer,a jpeg corrupted photo of a deer.,a black and white photo of the big deer.
3146,7,horse,a small photo of the horse.,a cropped photo of a modern horse.
3147,7,horse,a blurry photo of a horse.,a cropped photo of a noisy horse.
3148,5,dog,a small photo of the dog.,a jpeg corrupted photo of a big dog.
3149,9,truck,a pixelated photo of the truck.,a pixelated photo of the noisy truck.
3150,7,horse,a blurry photo of a horse.,a small photo of the small horse.
3151,7,horse,a black and white photo of the horse.,a close-up photo of a fast horse.
3152,5,dog,a pixelated photo of the dog.,a close-up photo of a cute dog.
3153,5,dog,a jpeg corrupted photo of a dog.,a cropped photo of a big dog.
3154,6,frog,a blurry photo of a frog.,a black and white photo of the modern frog.
3155,8,ship,a small photo of the ship.,a pixelated photo of the big ship.
3156,5,dog,a bad photo of a dog.,a cropped photo of a small dog.
3157,7,horse,a bad photo of a horse.,a close-up photo of a old horse.
3158,5,dog,a low resolution photo of a dog.,a bright photo of a realistic dog.
3159,8,ship,a low resolution photo of a ship.,a pixelated photo of the small ship.
3160,8,ship,a rendition of a ship.,a small photo of the cute ship.
3161,2,bird,a low resolution photo of a bird.,a photo of a small bird.
3162,5,dog,a pixelated photo of the dog.,a jpeg corrupted photo of a old dog.
3163,5,dog,a bright photo of a dog.,a jpeg corrupted photo of a modern dog.
3164,2,bird,a small photo of the bird.,a pixelated photo of the strange bird.
3165,8,ship,a pixelated photo of the ship.,a black and white photo of the realistic ship.
3166,4,deer,a blurry photo of a deer.,a photo of a cute deer.
3167,5,dog,a close-up photo of a dog.,a bright photo of a realistic dog.
3168,6,frog,a cropped photo of a frog.,a jpeg corrupted photo of a big frog.
3169,8,ship,a bright photo of a ship.,a cropped photo of a colorful ship.
3170,8,ship,a pixelated photo of the ship.,a pixelated photo of the modern ship.
3171,5,dog,a bad photo of a dog.,a rendition of a small dog.
3172,3,cat,a pixelated photo of the cat.,a photo of a strange cat.
3173,5,dog,a blurry photo of a dog.,a jpeg corrupted photo of a modern dog.
3174,5,dog,a rendition of a dog.,a cropped photo of a modern dog.
3175,9,truck,a pixelated photo of the truck.,a close-up photo of a modern truck.
3176,4,deer,a close-up photo of a deer.,a bad photo of a cute deer.
3177,3,cat,a bright photo of a cat.,a low resolution photo of a realistic cat.
3178,3,cat,a black and white photo of the cat.,a low resolution photo of a noisy cat.
3179,9,truck,a jpeg corrupted photo of a truck.,a photo of a fast truck.
3180,0,airplane,a black and white photo of the airplane.,a pixelated photo of the old airplane.
3181,2,bird,a cropped photo of a bird.,a small photo of the big bird.
3182,4,deer,a rendition of a deer.,a photo of a colorful deer.
3183,1,automobile,a black and white photo of the automobile.,a low resolution photo of a noisy automobile.
3184,0,airplane,a photo of a airplane.,a pixelated photo of the realistic airplane.
3185,2,bird,a low resolution photo of a bird.,a bad photo of a cute bird.
3186,7,horse,a bad photo of a horse.,a rendition of a cute horse.
3187,5,dog,a bad photo of a dog.,a rendition of a fast dog.
3188,3,cat,a cropped photo of a cat.,a close-up photo of a big cat.
3189,4,deer,a small photo of the deer.,a photo of a modern deer.
3190,3,cat,a small photo of the cat.,a black and white photo of the fast cat.
3191,7,horse,a rendition of a horse.,a rendition of a colorful horse.
3192,6,frog,a blurry photo of a frog.,a blurry photo of a cute frog.
3193,2,bird,a small photo of the bird.,a rendition of a noisy bird.
3194,3,cat,a photo of a cat.,a cropped photo of a strange cat.
3195,5,dog,a cropped photo of a dog.,a close-up photo of a strange dog.
3196,2,bird,a blurry photo of a bird.,a bad photo of a big bird.
3197,0,airplane,a rendition of a airplane.,a small photo of the cute airplane.
3198,5,dog,a rendition of a dog.,a cropped photo of a cute dog.
3199,9,truck,a pixelated photo of the truck.,a small photo of the old truck.
3200,6,frog,a cropped photo of a frog.,a black and white photo of the old frog.
3201,3,cat,a photo of a cat.,a cropped photo of a noisy cat.
3202,9,truck,a cropped photo of a truck.,a low resolution photo of a noisy truck.
3203,6,frog,a bright photo of a frog.,a jpeg corrupted photo of a strange frog.
3204,0,airplane,a small photo of the airplane.,a low resolution photo of a old airplane.
3205,2,bird,a low resolution photo of a bird.,a bad photo of a modern bird.
3206,5,dog,a rendition of a dog.,a low resolution photo of a big dog.
3207,6,frog,a rendition of a frog.,a small photo of the fast frog.
3208,7,horse,a blurry photo of a horse.,a close-up photo of a strange horse.
3209,7,horse,a bright photo of a horse.,a close-up photo of a small horse.
3210,2,bird,a blurry photo of a bird.,a cropped photo of a fast bird.
3211,0,airplane,a blurry photo of a airplane.,a photo of a cute airplane.
3212,1,automobile,a blurry photo of a automobile.,a blurry photo of a strange automobile.
3213,7,horse,a black and white photo of the horse.,a photo of a cute horse.
3214,0,airplane,a pixelated photo of the airplane.,a blurry photo of a noisy airplane.
3215,8,ship,a blurry photo of a ship.,a jpeg corrupted photo of a old ship.
3216,9,truck,a small photo of the truck.,a bad photo of a strange truck.
3217,4,deer,a black and white photo of the deer.,a low resolution photo of a modern deer.
3218,3,cat,a low resolution photo of a cat.,a blurry photo of a strange cat.
3219,4,deer,a black and white photo of the deer.,a black and white photo of the noisy deer.
3220,3,cat,a black and white photo of the cat.,a low resolution photo of a small cat.
3221,5,dog,a rendition of a dog.,a small photo of the realistic dog.
3222,3,cat,a jpeg corrupted photo of a cat.,a small photo of the strange cat.
3223,6,frog,a black and white photo of the frog.,a black and white photo of the cute frog.
3224,0,airplane,a bright photo of a airplane.,a pixelated photo of the big airplane.
3225,4,deer,a cropped photo of a deer.,a low resolution photo of a cute deer.
3226,2,bird,a photo of a bird.,a rendition of a strange bird.
3227,6,frog,a cropped photo of a frog.,a bright photo of a noisy frog.
3228,9,truck,a low resolution photo of a truck.,a cropped photo of a modern truck.
3229,5,dog,a pixelated photo of the dog.,a blurry photo of a old dog.
3230,1,automobile,a jpeg corrupted photo of a automobile.,a black and white photo of the big automobile.
3231,1,automobile,a close-up photo of a automobile.,a blurry photo of a noisy automobile.
3232,9,truck,a photo of a truck.,a cropped photo of a old truck.
3233,1,automobile,a rendition of a automobile.,a bad photo of a realistic automobile.
3234,9,truck,a small photo of the truck.,a close-up photo of a cute truck.
3235,2,bird,a black and white photo of the bird.,a low resolution photo of a colorful bird.
3236,4,deer,a black and white photo of the deer.,a bad photo of a realistic deer.
3237,9,truck,a close-up photo of a truck.,a jpeg corrupted photo of a big truck.
3238,1,automobile,a pixelated photo of the automobile.,a cropped photo of a cute automobile.
3239,9,truck,a close-up photo of a truck.,a cropped photo of a realistic truck.
3240,8,ship,a pixelated photo of the ship.,a photo of a realistic ship.
3241,6,frog,a photo of a frog.,a close-up photo of a modern frog.
3242,3,cat,a blurry photo of a cat.,a bright photo of a modern cat.
3243,6,frog,a close-up photo of a frog.,a black and white photo of the big frog.
3244,8,ship,a blurry photo of a ship.,a bad photo of a small ship.
3245,2,bird,a small photo of the bird.,a jpeg corrupted photo of a big bird.
3246,0,airplane,a small photo of the airplane.,a bad photo of a colorful airplane.
3247,9,truck,a pixelated photo of the truck.,a low resolution photo of a big truck.
3248,3,cat,a jpeg corrupted photo of a cat.,a black and white photo of the cute cat.
3249,5,dog,a rendition of a dog.,a bad photo of a fast dog.
3250,8,ship,a small photo of the ship.,a rendition of a big ship.
3251,7,horse,a pixelated photo of the horse.,a bright photo of a colorful horse.
3252,4,deer,a cropped photo of a deer.,a cropped photo of a old deer.
3253,2,bird,a rendition of a bird.,a cropped photo of a fast bird.
3254,2,bird,a close-up photo of a bird.,a rendition of a realistic bird.
3255,7,horse,a bright photo of a horse.,a rendition of a old horse.
3256,9,truck,a bad photo of a truck.,a close-up photo of a noisy truck.
3257,1,automobile,a bright photo of a automobile.,a pixelated photo of the colorful automobile.
3258,8,ship,a bright photo of a ship.,a jpeg corrupted photo of a big ship.
3259,2,bird,a bright photo of a bird.,a bright photo of a strange bird.
3260,4,deer,a blurry photo of a deer.,a rendition of a strange deer.
3261,7,horse,a cropped photo of a horse.,a blurry photo of a fast horse.
3262,6,frog,a bad photo of a frog.,a cropped photo of a colorful frog.
3263,0,airplane,a pixelated photo of the airplane.,a low resolution photo of a realistic airplane.
3264,5,dog,a bad photo of a dog.,a jpeg corrupted photo of a cute dog.
3265,5,dog,a blurry photo of a dog.,a blurry photo of a noisy dog.
3266,6,frog,a bright photo of a frog.,a bad photo of a realistic frog.
3267,9,truck,a close-up photo of a truck.,a bad photo of a strange truck.
3268,8,ship,a jpeg corrupted photo of a ship.,a small photo of the small ship.
3269,8,ship,a bright photo of a ship.,a low resolution photo of a noisy ship.
3270,5,dog,a blurry photo of a dog.,a bright photo of a strange dog.
3271,5,dog,a close-up photo of a dog.,a cropped photo of a small dog.
3272,7,horse,a close-up photo of a horse.,a close-up photo of a small horse.
3273,1,automobile,a bright photo of a automobile.,a bright photo of a colorful automobile.
3274,2,bird,a bright photo of a bird.,a bad photo of a fast bird.
3275,7,horse,a jpeg corrupted photo of a horse.,a small photo of the strange horse.
3276,9,truck,a cropped photo of a truck.,a bright photo of a strange truck.
3277,0,airplane,a bad photo of a airplane.,a pixelated photo of the strange airplane.
3278,5,dog,a close-up photo of a dog.,a photo of a fast dog.
3279,7,horse,a cropped photo of a horse.,a bright photo of a strange horse.
3280,5,dog,a low resolution photo of a dog.,a small photo of the strange dog.
3281,2,bird,a rendition of a bird.,a bad photo of a noisy bird.
3282,5,dog,a black and white photo of the dog.,a rendition of a colorful dog.
3283,4,deer,a blurry photo of a deer.,a pixelated photo of the fast deer.
3284,7,horse,a rendition of a horse.,a jpeg corrupted photo of a noisy horse.
3285,1,automobile,a pixelated photo of the automobile.,a jpeg corrupted photo of a big automobile.
3286,3,cat,a cropped photo of a cat.,a cropped photo of a small cat.
3287,3,cat,a rendition of a cat.,a close-up photo of a fast cat.
3288,4,deer,a pixelated photo of the deer.,a small photo of the fast deer.
3289,3,cat,a bright photo of a cat.,a photo of a strange cat.
3290,6,frog,a low resolution photo of a frog.,a blurry photo of a colorful frog.
3291,2,bird,a close-up photo of a bird.,a photo of a realistic bird.
3292,0,airplane,a blurry photo of a airplane.,a photo of a colorful airplane.
3293,5,dog,a photo of a dog.,a blurry photo of a realistic dog.
3294,8,ship,a rendition of a ship.,a cropped photo of a noisy ship.
3295,0,airplane,a photo of a airplane.,a bad photo of a noisy airplane.
3296,4,deer,a pixelated photo of the deer.,a black and white photo of the small deer.
3297,2,bird,a bright photo of a bird.,a low resolution photo of a colorful bird.
3298,9,truck,a photo of a truck.,a bad photo of a big truck.
3299,2,bird,a bright photo of a bird.,a bad photo of a big bird.
3300,4,deer,a pixelated photo of the deer.,a bad photo of a realistic deer.
3301,2,bird,a bad photo of a bird.,a close-up photo of a cute bird.
3302,3,cat,a low resolution photo of a cat.,a cropped photo of a cute cat.
3303,8,ship,a black and white photo of the ship.,a black and white photo of the realistic ship.
3304,0,airplane,a close-up photo of a airplane.,a rendition of a strange airplane.
3305,8,ship,a black and white photo of the ship.,a cropped photo of a noisy ship.
3306,4,deer,a pixelated photo of the deer.,a bright photo of a strange deer.
3307,6,frog,a bad photo of a frog.,a black and white photo of the old frog.
3308,4,deer,a photo of a deer.,a bad photo of a cute deer.
3309,2,bird,a jpeg corrupted photo of a bird.,a small photo of the noisy bird.
3310,8,ship,a low resolution photo of a ship.,a low resolution photo of a noisy ship.
3311,6,frog,a rendition of a frog.,a low resolution photo of a fast frog.
3312,9,truck,a bright photo of a truck.,a close-up photo of a fast truck.
3313,8,ship,a pixelated photo of the ship.,a close-up photo of a realistic ship.
3314,4,deer,a rendition of a deer.,a close-up photo of a noisy deer.
3315,1,automobile,a low resolution photo of a automobile.,a small photo of the small automobile.
3316,9,truck,a low resolution photo of a truck.,a pixelated photo of the noisy truck.
3317,7,horse,a pixelated photo of the horse.,a blurry photo of a cute horse.
3318,0,airplane,a photo of a airplane.,a rendition of a big airplane.
3319,8,ship,a pixelated photo of the ship.,a bad photo of a realistic ship.
3320,3,cat,a black and white photo of the cat.,a pixelated photo of the big cat.
3321,2,bird,a bright photo of a bird.,a bad photo of a big bird.
3322,4,deer,a blurry photo of a deer.,a low resolution photo of a realistic deer.
3323,6,frog,a rendition of a frog.,a photo of a modern frog.
3324,8,ship,a bright photo of a ship.,a photo of a modern ship.
3325,2,bird,a photo of a bird.,a jpeg corrupted photo of a old bird.
3326,4,deer,a close-up photo of a deer.,a bad photo of a noisy deer.
3327,1,automobile,a cropped photo of a automobile.,a close-up photo of a modern automobile.
3328,3,cat,a cropped photo of a cat.,a black and white photo of the modern cat.
3329,0,airplane,a jpeg corrupted photo of a airplane.,a cropped photo of a old airplane.
3330,8,ship,a small photo of the ship.,a jpeg corrupted photo of a realistic ship.
3331,2,bird,a photo of a bird.,a cropped photo of a fast bird.
3332,0,airplane,a bad photo of a airplane.,a photo of a small airplane.
3333,8,ship,a blurry photo of a ship.,a photo of a big ship.
3334,0,airplane,a pixelated photo of the airplane.,a jpeg corrupted photo of a realistic airplane.
3335,0,airplane,a bright photo of a airplane.,a low resolution photo of a big airplane.
3336,0,airplane,a close-up photo of a airplane.,a bright photo of a modern airplane.
3337,0,airplane,a small photo of the airplane.,a jpeg corrupted photo of a old airplane.
3338,2,bird,a jpeg corrupted photo of a bird.,a close-up photo of a noisy bird.
3339,2,bird,a rendition of a bird.,a close-up photo of a noisy bird.
3340,3,cat,a rendition of a cat.,a photo of a fast cat.
3341,6,frog,a jpeg corrupted photo of a frog.,a low resolution photo of a realistic frog.
3342,9,truck,a pixelated photo of the truck.,a bright photo of a big truck.
3343,7,horse,a rendition of a horse.,a pixelated photo of the modern horse.
3344,0,airplane,a jpeg corrupted photo of a airplane.,a low resolution photo of a strange airplane.
3345,9,truck,a low resolution photo of a truck.,a blurry photo of a strange truck.
3346,1,automobile,a photo of a automobile.,a rendition of a modern automobile.
3347,0,airplane,a pixelated photo of the airplane.,a bright photo of a cute airplane.
3348,7,horse,a cropped photo of a horse.,a pixelated photo of the old horse.
3349,2,bird,a close-up photo of a bird.,a rendition of a small bird.
3350,8,ship,a blurry photo of a ship.,a cropped photo of a colorful ship.
3351,3,cat,a jpeg corrupted photo of a cat.,a cropped photo of a realistic cat.
3352,0,airplane,a close-up photo of a airplane.,a small photo of the strange airplane.
3353,8,ship,a blurry photo of a ship.,a small photo of the big ship.
3354,4,deer,a small photo of the deer.,a pixelated photo of the big deer.
3355,3,cat,a bright photo of a cat.,a pixelated photo of the realistic cat.
3356,5,dog,a photo of a dog.,a rendition of a modern dog.
3357,8,ship,a jpeg corrupted photo of a ship.,a rendition of a colorful ship.
3358,7,horse,a black and white photo of the horse.,a photo of a colorful horse.
3359,8,ship,a photo of a ship.,a low resolution photo of a small ship.
3360,4,deer,a bright photo of a deer.,a small photo of the big deer.
3361,0,airplane,a low resolution photo of a airplane.,a pixelated photo of the big airplane.
3362,0,airplane,a low resolution photo of a airplane.,a low resolution photo of a small airplane.
3363,9,truck,a rendition of a truck.,a photo of a small truck.
3364,7,horse,a bright photo of a horse.,a cropped photo of a big horse.
3365,3,cat,a photo of a cat.,a blurry photo of a colorful cat.
3366,1,automobile,a jpeg corrupted photo of a automobile.,a close-up photo of a fast automobile.
3367,5,dog,a small photo of the dog.,a bad photo of a realistic dog.
3368,2,bird,a low resolution photo of a bird.,a small photo of the cute bird.
3369,6,frog,a low resolution photo of a frog.,a pixelated photo of the realistic frog.
3370,5,dog,a pixelated photo of the dog.,a cropped photo of a noisy dog.
3371,3,cat,a small photo of the cat.,a close-up photo of a big cat.
3372,2,bird,a cropped photo of a bird.,a close-up photo of a cute bird.
3373,3,cat,a bad photo of a cat.,a cropped photo of a colorful cat.
3374,7,horse,a bright photo of a horse.,a small photo of the small horse.
3375,0,airplane,a close-up photo of a airplane.,a bright photo of a cute airplane.
3376,3,cat,a pixelated photo of the cat.,a bright photo of a big cat.
3377,4,deer,a close-up photo of a deer.,a pixelated photo of the noisy deer.
3378,1,automobile,a photo of a automobile.,a bright photo of a cute automobile.
3379,1,automobile,a low resolution photo of a automobile.,a pixelated photo of the fast automobile.
3380,8,ship,a photo of a ship.,a small photo of the old ship.
3381,9,truck,a cropped photo of a truck.,a pixelated photo of the old truck.
3382,0,airplane,a photo of a airplane.,a blurry photo of a big airplane.
3383,4,deer,a bright photo of a deer.,a bright photo of a noisy deer.
3384,8,ship,a bad photo of a ship.,a low resolution photo of a big ship.
3385,3,cat,a cropped photo of a cat.,a jpeg corrupted photo of a strange cat.
3386,1,automobile,a cropped photo of a automobile.,a jpeg corrupted photo of a small automobile.
3387,1,automobile,a bright photo of a automobile.,a bright photo of a realistic automobile.
3388,5,dog,a rendition of a dog.,a bright photo of a cute dog.
3389,7,horse,a blurry photo of a horse.,a pixelated photo of the old horse.
3390,2,bird,a small photo of the bird.,a rendition of a cute bird.
3391,3,cat,a bad photo of a cat.,a rendition of a cute cat.
3392,9,truck,a low resolution photo of a truck.,a jpeg corrupted photo of a colorful truck.
3393,4,deer,a bad photo of a deer.,a rendition of a old deer.
3394,5,dog,a photo of a dog.,a black and white photo of the small dog.
3395,2,bird,a jpeg corrupted photo of a bird.,a jpeg corrupted photo of a realistic bird.
3396,5,dog,a blurry photo of a dog.,a black and white photo of the modern dog.
3397,4,deer,a jpeg corrupted photo of a deer.,a bad photo of a big deer.
3398,7,horse,a pixelated photo of the horse.,a blurry photo of a colorful horse.
3399,1,automobile,a photo of a automobile.,a small photo of the fast automobile.
3400,7,horse,a black and white photo of the horse.,a close-up photo of a cute horse.
3401,6,frog,a cropped photo of a frog.,a close-up photo of a fast frog.
3402,2,bird,a rendition of a bird.,a black and white photo of the colorful bird.
3403,6,frog,a black and white photo of the frog.,a bad photo of a colorful frog.
3404,1,automobile,a bright photo of a automobile.,a jpeg corrupted photo of a modern automobile.
3405,8,ship,a low resolution photo of a ship.,a low resolution photo of a fast ship.
3406,8,ship,a bright photo of a ship.,a photo of a cute ship.
3407,9,truck,a small photo of the truck.,a blurry photo of a big truck.
3408,4,deer,a cropped photo of a deer.,a close-up photo of a fast deer.
3409,9,truck,a blurry photo of a truck.,a pixelated photo of the fast truck.
3410,5,dog,a bright photo of a dog.,a bright photo of a colorful dog.
3411,6,frog,a close-up photo of a frog.,a photo of a noisy frog.
3412,6,frog,a bright photo of a frog.,a photo of a big frog.
3413,7,horse,a rendition of a horse.,a rendition of a noisy horse.
3414,1,automobile,a black and white photo of the automobile.,a pixelated photo of the fast automobile.
3415,1,automobile,a small photo of the automobile.,a jpeg corrupted photo of a big automobile.
3416,2,bird,a rendition of a bird.,a black and white photo of the modern bird.
3417,2,bird,a rendition of a bird.,a pixelated photo of the strange bird.
3418,4,deer,a bright photo of a deer.,a small photo of the strange deer.
3419,8,ship,a blurry photo of a ship.,a blurry photo of a old ship.
3420,5,dog,a small photo of the dog.,a small photo of the realistic dog.
3421,5,dog,a jpeg corrupted photo of a dog.,a cropped photo of a cute dog.
3422,9,truck,a rendition of a truck.,a small photo of the cute truck.
3423,2,bird,a bad photo of a bird.,a close-up photo of a noisy bird.
3424,9,truck,a jpeg corrupted photo of a truck.,a low resolution photo of a cute truck.
3425,8,ship,a bad photo of a ship.,a bad photo of a fast ship.
3426,5,dog,a black and white photo of the dog.,a photo of a colorful dog.
3427,7,horse,a cropped photo of a horse.,a blurry photo of a old horse.
3428,2,bird,a low resolution photo of a bird.,a photo of a small bird.
3429,3,cat,a cropped photo of a cat.,a jpeg corrupted photo of a realistic cat.
3430,8,ship,a cropped photo of a ship.,a jpeg corrupted photo of a old ship.
3431,5,dog,a bad photo of a dog.,a photo of a strange dog.
3432,7,horse,a bright photo of a horse.,a black and white photo of the modern horse.
3433,4,deer,a close-up photo of a deer.,a low resolution photo of a strange deer.
3434,7,horse,a pixelated photo of the horse.,a black and white photo of the cute horse.
3435,6,frog,a jpeg corrupted photo of a frog.,a bright photo of a small frog.
3436,2,bird,a pixelated photo of the bird.,a black and white photo of the old bird.
3437,6,frog,a low resolution photo of a frog.,a pixelated photo of the colorful frog.
3438,0,airplane,a cropped photo of a airplane.,a close-up photo of a small airplane.
3439,6,frog,a close-up photo of a frog.,a pixelated photo of the fast frog.
3440,2,bird,a bad photo of a bird.,a blurry photo of a old bird.
3441,0,airplane,a pixelated photo of the airplane.,a black and white photo of the strange airplane.
3442,4,deer,a pixelated photo of the deer.,a low resolution photo of a old deer.
3443,0,airplane,a cropped photo of a airplane.,a bad photo of a small airplane.
